08/22/2022 22:55:56 MDT Batch 40
08/22/2022 22:55:56 MDT Batch 41
08/22/2022 22:55:56 MDT Batch 42
08/22/2022 22:55:57 MDT Batch 43
08/22/2022 22:55:57 MDT Batch 44
08/22/2022 22:55:57 MDT Batch 45
08/22/2022 22:56:05 MDT EPOCH #9: TRAIN AP 0.240436, VAL AP 0.213604, TRAIN TIME 0m 8.453945s, VAL TIME 0m 7.647924s
08/22/2022 22:56:05 MDT Epoch 10
08/22/2022 22:56:05 MDT Batch 1
08/22/2022 22:56:05 MDT Batch 2
08/22/2022 22:56:05 MDT Batch 3
08/22/2022 22:56:05 MDT Batch 4
08/22/2022 22:56:06 MDT Batch 5
08/22/2022 22:56:06 MDT Batch 6
08/22/2022 22:56:06 MDT Batch 7
08/22/2022 22:56:06 MDT Batch 8
08/22/2022 22:56:06 MDT Batch 9
08/22/2022 22:56:07 MDT Batch 10
08/22/2022 22:56:07 MDT Batch 11
08/22/2022 22:56:07 MDT Batch 12
08/22/2022 22:56:07 MDT Batch 13
08/22/2022 22:56:07 MDT Batch 14
08/22/2022 22:56:07 MDT Batch 15
08/22/2022 22:56:08 MDT Batch 16
08/22/2022 22:56:08 MDT Batch 17
08/22/2022 22:56:08 MDT Batch 18
08/22/2022 22:56:08 MDT Batch 19
08/22/2022 22:56:08 MDT Batch 20
08/22/2022 22:56:09 MDT Batch 21
08/22/2022 22:56:09 MDT Batch 22
08/22/2022 22:56:09 MDT Batch 23
08/22/2022 22:56:09 MDT Batch 24
08/22/2022 22:56:09 MDT Batch 25
08/22/2022 22:56:09 MDT Batch 26
08/22/2022 22:56:10 MDT Batch 27
08/22/2022 22:56:10 MDT Batch 28
08/22/2022 22:56:10 MDT Batch 29
08/22/2022 22:56:10 MDT Batch 30
08/22/2022 22:56:10 MDT Batch 31
08/22/2022 22:56:11 MDT Batch 32
08/22/2022 22:56:11 MDT Batch 33
08/22/2022 22:56:11 MDT Batch 34
08/22/2022 22:56:11 MDT Batch 35
08/22/2022 22:56:11 MDT Batch 36
08/22/2022 22:56:12 MDT Batch 37
08/22/2022 22:56:12 MDT Batch 38
08/22/2022 22:56:12 MDT Batch 39
08/22/2022 22:56:12 MDT Batch 40
08/22/2022 22:56:12 MDT Batch 41
08/22/2022 22:56:13 MDT Batch 42
08/22/2022 22:56:13 MDT Batch 43
08/22/2022 22:56:13 MDT Batch 44
08/22/2022 22:56:13 MDT Batch 45
08/22/2022 22:56:21 MDT EPOCH #10: TRAIN AP 0.243832, VAL AP 0.198841, TRAIN TIME 0m 8.389185s, VAL TIME 0m 7.497635s
08/22/2022 22:56:21 MDT Epoch 11
08/22/2022 22:56:21 MDT Batch 1
08/22/2022 22:56:21 MDT Batch 2
08/22/2022 22:56:21 MDT Batch 3
08/22/2022 22:56:21 MDT Batch 4
08/22/2022 22:56:21 MDT Batch 5
08/22/2022 22:56:22 MDT Batch 6
08/22/2022 22:56:22 MDT Batch 7
08/22/2022 22:56:22 MDT Batch 8
08/22/2022 22:56:22 MDT Batch 9
08/22/2022 22:56:22 MDT Batch 10
08/22/2022 22:56:23 MDT Batch 11
08/22/2022 22:56:23 MDT Batch 12
08/22/2022 22:56:23 MDT Batch 13
08/22/2022 22:56:23 MDT Batch 14
08/22/2022 22:56:23 MDT Batch 15
08/22/2022 22:56:24 MDT Batch 16
08/22/2022 22:56:24 MDT Batch 17
08/22/2022 22:56:24 MDT Batch 18
08/22/2022 22:56:24 MDT Batch 19
08/22/2022 22:56:24 MDT Batch 20
08/22/2022 22:56:25 MDT Batch 21
08/22/2022 22:56:25 MDT Batch 22
08/22/2022 22:56:25 MDT Batch 23
08/22/2022 22:56:25 MDT Batch 24
08/22/2022 22:56:25 MDT Batch 25
08/22/2022 22:56:26 MDT Batch 26
08/22/2022 22:56:26 MDT Batch 27
08/22/2022 22:56:26 MDT Batch 28
08/22/2022 22:56:26 MDT Batch 29
08/22/2022 22:56:26 MDT Batch 30
08/22/2022 22:56:26 MDT Batch 31
08/22/2022 22:56:27 MDT Batch 32
08/22/2022 22:56:27 MDT Batch 33
08/22/2022 22:56:27 MDT Batch 34
08/22/2022 22:56:27 MDT Batch 35
08/22/2022 22:56:27 MDT Batch 36
08/22/2022 22:56:28 MDT Batch 37
08/22/2022 22:56:28 MDT Batch 38
08/22/2022 22:56:28 MDT Batch 39
08/22/2022 22:56:28 MDT Batch 40
08/22/2022 22:56:28 MDT Batch 41
08/22/2022 22:56:29 MDT Batch 42
08/22/2022 22:56:29 MDT Batch 43
08/22/2022 22:56:29 MDT Batch 44
08/22/2022 22:56:29 MDT Batch 45
08/22/2022 22:56:39 MDT EPOCH #11: TRAIN AP 0.252854, VAL AP 0.203188, TRAIN TIME 0m 8.666553s, VAL TIME 0m 9.295123s
08/22/2022 22:56:39 MDT Epoch 12
08/22/2022 22:56:39 MDT Batch 1
08/22/2022 22:56:39 MDT Batch 2
08/22/2022 22:56:39 MDT Batch 3
08/22/2022 22:56:39 MDT Batch 4
08/22/2022 22:56:39 MDT Batch 5
08/22/2022 22:56:40 MDT Batch 6
08/22/2022 22:56:40 MDT Batch 7
08/22/2022 22:56:40 MDT Batch 8
08/22/2022 22:56:40 MDT Batch 9
08/22/2022 22:56:40 MDT Batch 10
08/22/2022 22:56:41 MDT Batch 11
08/22/2022 22:56:41 MDT Batch 12
08/22/2022 22:56:41 MDT Batch 13
08/22/2022 22:56:41 MDT Batch 14
08/22/2022 22:56:41 MDT Batch 15
08/22/2022 22:56:42 MDT Batch 16
08/22/2022 22:56:42 MDT Batch 17
08/22/2022 22:56:42 MDT Batch 18
08/22/2022 22:56:42 MDT Batch 19
08/22/2022 22:56:42 MDT Batch 20
08/22/2022 22:56:42 MDT Batch 21
08/22/2022 22:56:43 MDT Batch 22
08/22/2022 22:56:43 MDT Batch 23
08/22/2022 22:56:43 MDT Batch 24
08/22/2022 22:56:43 MDT Batch 25
08/22/2022 22:56:43 MDT Batch 26
08/22/2022 22:56:44 MDT Batch 27
08/22/2022 22:56:44 MDT Batch 28
08/22/2022 22:56:44 MDT Batch 29
08/22/2022 22:56:44 MDT Batch 30
08/22/2022 22:56:44 MDT Batch 31
08/22/2022 22:56:45 MDT Batch 32
08/22/2022 22:56:45 MDT Batch 33
08/22/2022 22:56:45 MDT Batch 34
08/22/2022 22:56:45 MDT Batch 35
08/22/2022 22:56:46 MDT Batch 36
08/22/2022 22:56:46 MDT Batch 37
08/22/2022 22:56:46 MDT Batch 38
08/22/2022 22:56:46 MDT Batch 39
08/22/2022 22:56:46 MDT Batch 40
08/22/2022 22:56:47 MDT Batch 41
08/22/2022 22:56:47 MDT Batch 42
08/22/2022 22:56:47 MDT Batch 43
08/22/2022 22:56:47 MDT Batch 44
08/22/2022 22:56:47 MDT Batch 45
08/22/2022 22:56:56 MDT EPOCH #12: TRAIN AP 0.249635, VAL AP 0.195180, TRAIN TIME 0m 8.738106s, VAL TIME 0m 8.423641s
08/22/2022 22:56:56 MDT Epoch 13
08/22/2022 22:56:56 MDT Batch 1
08/22/2022 22:56:56 MDT Batch 2
08/22/2022 22:56:56 MDT Batch 3
08/22/2022 22:56:56 MDT Batch 4
08/22/2022 22:56:57 MDT Batch 5
